Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
CGAN,Random Forest,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,20,0.19900497512437812,0.19900497512437812,0.19900497512437812,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,21,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,22,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,23,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,24,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,25,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,26,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,27,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,28,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,29,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Gradient Boosting,0,0.4623115577889447,0.15333333333333332,0.23028785982478098,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,1,0.19811320754716982,0.105,0.13725490196078433,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,2,0.125,0.1890547263681592,0.1504950495049505,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,3,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,4,0.09090909090909091,0.07960199004975124,0.08488063660477453,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,5,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,6,0.06976744186046512,0.04477611940298507,0.05454545454545454,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,7,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,8,0.11490683229813664,0.18453865336658354,0.1416267942583732,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,9,0.08205128205128205,0.07960199004975124,0.08080808080808081,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,10,0.07942238267148015,0.10945273631840796,0.09205020920502092,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,11,0.1,0.009950248756218905,0.01809954751131222,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,12,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,13,0.033840117704757235,0.3631578947368421,0.06191117092866756,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,14,0.0391566265060241,0.12935323383084577,0.06011560693641618,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,16,0.15048543689320387,0.15422885572139303,0.15233415233415235,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,17,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,18,0.16062176165803108,0.15422885572139303,0.15736040609137056,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,20,0.19900497512437812,0.19900497512437812,0.19900497512437812,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,21,0.1717171717171717,0.1691542288557214,0.17042606516290726,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,22,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,23,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,24,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,25,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,26,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
CGAN,Gradient Boosting,27,0.0,0.0,0.0,0.1316522504031667,0.08977929502917602,
