Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
AE-GAN,Random Forest,24,0.0,0.0,0.0,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,25,0.0,0.0,0.0,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,26,0.0,0.0,0.0,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,27,0.0,0.0,0.0,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,28,0.0,0.0,0.0,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,29,0.0,0.0,0.0,0.23911449934027268,0.09919941453333657,
AE-GAN,Gradient Boosting,0,0.43162108072048033,0.26958333333333334,0.33187996922287766,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,1,0.17886178861788618,0.11,0.13622291021671826,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,2,0.12297734627831715,0.1890547263681592,0.14901960784313725,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,3,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,4,0.08522727272727272,0.07462686567164178,0.07957559681697612,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,5,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,6,0.07692307692307693,0.05970149253731343,0.06722689075630252,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,7,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,8,0.147239263803681,0.11970074812967581,0.13204951856946354,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,9,0.085,0.0845771144278607,0.08478802992518704,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,10,0.07142857142857142,0.12437810945273632,0.09074410163339383,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,11,0.08333333333333333,0.009950248756218905,0.017777777777777778,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,12,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,13,0.04246100519930676,0.2578947368421053,0.07291666666666667,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,14,0.036048064085447265,0.13432835820895522,0.056842105263157895,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,16,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,17,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,18,0.16243654822335024,0.15920398009950248,0.16080402010050251,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,20,0.2,0.19900497512437812,0.19950124688279303,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,21,0.17258883248730963,0.1691542288557214,0.1708542713567839,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,22,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,23,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,24,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,25,0.006060606060606061,0.18181818181818182,0.011730205278592375,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,26,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,27,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,28,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,Gradient Boosting,29,0.0,0.0,0.0,0.16742413135903828,0.09553823215288977,
AE-GAN,SVM,0,0.45150720838794234,0.28708333333333336,0.3509933774834437,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,1,0.20512820512820512,0.12,0.15141955835962145,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,2,0.1254355400696864,0.1791044776119403,0.14754098360655737,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,3,0.12448132780082988,0.14925373134328357,0.13574660633484162,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,4,0.12396694214876033,0.14925373134328357,0.13544018058690746,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,5,0.16243654822335024,0.15920398009950248,0.16080402010050251,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,6,0.08917197452229299,0.13930348258706468,0.1087378640776699,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,7,0.1477832512315271,0.14925373134328357,0.1485148514851485,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,8,0.1067472306143001,0.26433915211970077,0.15208034433285508,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,9,0.0845771144278607,0.0845771144278607,0.0845771144278607,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,10,0.11616161616161616,0.11442786069651742,0.11528822055137844,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,11,0.1686746987951807,0.208955223880597,0.18666666666666668,0.20070370913355812,0.13364442827601908,
