Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
DCGAN,Random Forest,2,0.10526315789473684,0.1890547263681592,0.13523131672597866,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,3,0.0,0.0,0.0,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,4,0.1282051282051282,0.12437810945273632,0.12626262626262627,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,5,0.16,0.15920398009950248,0.1596009975062344,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,6,0.06369426751592357,0.04975124378109453,0.055865921787709494,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,7,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,8,0.14193548387096774,0.16458852867830423,0.15242494226327943,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,9,0.08900523560209424,0.0845771144278607,0.08673469387755102,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,10,0.08185053380782918,0.11442786069651742,0.0954356846473029,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,11,0.12578616352201258,0.09950248756218906,0.1111111111111111,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,12,0.0,0.0,0.0,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,13,0.13440860215053763,0.13157894736842105,0.13297872340425532,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,14,0.036,0.04477611940298507,0.03991130820399113,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,16,0.13901345291479822,0.15422885572139303,0.14622641509433962,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,17,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,18,0.14754098360655737,0.08955223880597014,0.11145510835913312,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,20,0.19900497512437812,0.19900497512437812,0.19900497512437812,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,21,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.233983286908078,0.10170481128760758,
